Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
108,"[27.06, 79.68]",0,0,0.0,0.2223,Hardoi,Rejected,0.0,0.0,0.0,0.0
109,"[27.07, 79.68]",0,0,2892.0145,0.2321,Hardoi,Rejected,0.0,0.0,0.0,0.0
110,"[27.08, 79.68]",0,0,0.0,0.0837,Hardoi,Rejected,0.0,0.0,0.0,0.0
111,"[27.09, 79.68]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
112,"[27.1, 79.68]",0,0,0.0,0.1668,Hardoi,Rejected,0.0,0.0,0.0,0.0
113,"[27.11, 79.68]",0,0,0.0,0.2637,Hardoi,Rejected,0.0,0.0,0.0,0.0
114,"[27.12, 79.68]",0,0,997.8628,0.4418,Hardoi,Rejected,0.0,0.0,0.0,0.0
115,"[27.13, 79.68]",0,0,0.0,0.1488,Hardoi,Rejected,0.0,0.0,0.0,0.0
116,"[27.14, 79.68]",0,0,547.2809,0.5579999999999999,Hardoi,Rejected,0.0,0.0,0.0,0.0
117,"[27.15, 79.68]",1,0,1854.4816,0.5367,Hardoi,Rejected,0.0,0.0,0.0,0.0
118,"[27.16, 79.68]",0,0,1004.7183,0.4058,Hardoi,Rejected,0.0,0.0,0.0,0.0
119,"[27.17, 79.68]",5,0,1851.4612,0.4646,Hardoi,Rejected,0.0,0.0,0.0,0.0
120,"[27.18, 79.68]",9,0,3112.2733,0.5452,Hardoi,Rejected,0.0,0.0,0.0,0.0
121,"[27.19, 79.68]",6,0,2587.9139999999998,0.5929,Hardoi,Rejected,0.0,0.0,0.0,0.0
122,"[27.2, 79.68]",3,1,1361.4664,0.4493,Hardoi,Rejected,0.0,0.0,0.0,0.0
123,"[27.21, 79.68]",18,0,4179.8097,0.5643,Hardoi,Rejected,0.0,0.0,0.0,0.0
124,"[27.22, 79.68]",6,0,1976.8632,0.3365,Hardoi,Rejected,0.0,0.0,0.0,0.0
125,"[27.23, 79.68]",3,1,1864.1469,0.4035,Hardoi,Rejected,0.0,0.0,0.005113,0.0
126,"[27.24, 79.68]",0,0,607.137,0.5096,Hardoi,Rejected,0.0,0.0,0.0,0.0
127,"[27.25, 79.68]",0,0,0.0,0.1778,Hardoi,Rejected,0.0,0.0,0.216216,0.0
128,"[27.26, 79.68]",0,0,0.0,0.2829,Hardoi,Rejected,0.0,0.0,0.176771,0.0
129,"[27.27, 79.68]",0,0,1200.489,0.602,Hardoi,Rejected,0.0,0.0,0.0,0.0
130,"[27.28, 79.68]",0,0,69.6624,0.3321,Hardoi,Rejected,0.0,0.0,0.0,0.0
131,"[27.29, 79.68]",3,0,2124.3672,0.5671,Hardoi,Rejected,0.0,0.0,0.0,0.0
132,"[27.3, 79.68]",6,0,3066.8087,0.5147,Hardoi,Rejected,0.0,0.0,0.0,0.0
133,"[27.31, 79.68]",16,0,3346.0721,0.5625,Hardoi,Rejected,0.0,0.0,0.0,0.0
134,"[27.32, 79.68]",6,0,3154.494,0.467,Hardoi,Rejected,0.0,0.0,0.0,0.0
135,"[27.33, 79.68]",1,0,508.9493,0.2984,Hardoi,Rejected,0.0,0.0,0.0,0.0
136,"[27.34, 79.68]",1,0,1533.7827,0.4155,Hardoi,Rejected,0.0,0.0,0.0,0.0
137,"[27.35, 79.68]",1,0,1417.9163,0.3464,Hardoi,Rejected,0.0,0.0,0.0,0.0
138,"[27.36, 79.68]",2,0,1189.2808,0.4416,Hardoi,Rejected,0.0,0.0,0.306793,0.0
139,"[27.37, 79.68]",21,1,6674.3671,0.6379,Hardoi,Rural,0.0,0.0,0.9313370000000001,0.0
140,"[27.38, 79.68]",1,0,2693.7343,0.4664,Hardoi,Rural,0.0,0.0,0.734843,0.0
141,"[27.39, 79.68]",12,0,4019.7378,0.455,Hardoi,Rejected,0.0,0.0,0.172119,0.0
142,"[27.4, 79.68]",1,0,1018.1867,0.4069,Hardoi,Rejected,0.0,0.0,0.0,0.0
143,"[27.41, 79.68]",7,0,3949.1967,0.5442,Hardoi,Rejected,0.0,0.0,0.0,0.0
144,"[27.42, 79.68]",18,0,4993.9236,0.5872,Hardoi,Rejected,0.0,0.0,0.0,0.0
145,"[27.43, 79.68]",27,1,6739.7314,0.6219,Hardoi,Rejected,0.0,0.0,0.0,0.0
146,"[27.44, 79.68]",12,0,4996.5956,0.5733,Hardoi,Rejected,0.0,0.0,0.0,0.0
147,"[27.45, 79.68]",9,0,4441.9251,0.4698,Hardoi,Rejected,0.0,0.0,0.0,0.0
148,"[27.46, 79.68]",37,7,9928.2894,0.6227,Hardoi,Rejected,0.0,0.0,0.0,0.0
