Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
1176,"[23.41, 85.78]",6,0,4140.198,0.5748,Bokaro,Rejected,0.0,0.0,0.0,0.0
1177,"[23.42, 85.78]",0,0,0.0,0.2825,Bokaro,Rejected,0.0,0.0,0.0,0.0
1178,"[23.43, 85.78]",1,0,960.6712,0.5444,Bokaro,Rejected,0.0,0.0,0.0,0.0
1179,"[23.44, 85.78]",7,0,4302.7243,0.4991,Bokaro,Rejected,0.0,0.0,0.0,0.0
1180,"[23.45, 85.78]",1,0,1426.6362,0.2588,Bokaro,Rejected,0.0,0.0,0.0,0.0
1181,"[23.46, 85.78]",5,0,3165.4229,0.5095,Bokaro,Rejected,0.0,0.0,0.0,0.0
1182,"[23.47, 85.78]",1,0,2180.9209,0.4998,Bokaro,Rejected,0.0,0.0,0.0,0.0
1183,"[23.48, 85.78]",0,0,0.0,0.3042,Bokaro,Rejected,0.0,0.0,0.0,0.0
1184,"[23.49, 85.78]",0,0,0.0,0.1543,Bokaro,Rejected,0.0,0.0,0.0,0.0
1185,"[23.5, 85.78]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1186,"[23.51, 85.78]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1187,"[23.52, 85.78]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1188,"[23.53, 85.78]",0,0,0.0,0.0,Bokaro,Rejected,0.0,0.0,0.0,0.0
1189,"[23.54, 85.78]",0,0,0.0,0.1445,Bokaro,Rejected,0.0,0.0,0.0,0.0
1190,"[23.55, 85.78]",0,0,0.0,0.2565,Bokaro,Rejected,0.0,0.0,0.0,0.0
1191,"[23.56, 85.78]",0,0,1194.9287,0.6039,Bokaro,Rejected,0.0,0.0,0.0,0.0
1192,"[23.57, 85.78]",0,0,184.3087,0.325,Bokaro,Rejected,0.0,0.0,0.0,0.0
1193,"[23.58, 85.78]",0,0,0.0,0.0797,Bokaro,Rejected,0.0,0.0,0.0,0.0
1194,"[23.59, 85.78]",0,0,342.5221,0.4212,Bokaro,Rejected,0.0,0.0,0.0,0.0
