Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
157,"[[25.1455347 85.8309731]
 [25.143157  85.8375693]
 [25.1460732 85.8383437]
 [25.1405114 85.8356775]
 [25.142906  85.834744 ]
 [25.1409141 85.8369397]
 [25.1409142 85.8369397]
 [25.1433923 85.8348952]
 [25.1409499 85.8370758]
 [25.1414176 85.8372408]
 [25.1410995 85.837704 ]
 [25.1401695 85.8385231]
 [25.140854  85.838308 ]
 [25.1410701 85.8383774]
 [25.1405738 85.8390124]
 [25.1421954 85.8385731]
 [25.143934  85.8379747]
 [25.1428547 85.8394989]
 [25.1458185 85.839177 ]
 [25.1480179 85.8368225]]",[[25.1480179 85.8368225]],None,None,None,"[[25.1431649 85.8349086]
 [25.1416231 85.8368411]
 [25.1416065 85.8369094]
 [25.1411645 85.8374158]
 [25.140913  85.8375607]
 [25.1430566 85.8376461]
 [25.1462484 85.8364033]]","[[25.1432229 85.8344895]
 [25.1429846 85.8360046]
 [25.1435966 85.835542 ]
 [25.1443116 85.8355059]]",[[25.1439031 85.8351882]],[[25.1400882 85.8378778]],"[[25.1405681 85.836709 ]
 [25.1424754 85.835833 ]
 [25.143957  85.83486  ]
 [25.1458685 85.832215 ]
 [25.1427479 85.8382295]
 [25.143717  85.837517 ]
 [25.1463921 85.8388504]]",None,"[[25.141977  85.836591 ]
 [25.1412753 85.8372954]]"
158,"[[24.3681009 85.847344 ]
 [24.3668952 85.8460136]
 [24.3666263 85.8462862]]","[[24.3668952 85.8460136]
 [24.3666263 85.8462862]]",None,None,None,None,None,None,None,None,None,None
159,None,None,None,None,None,None,None,None,None,None,None,None
160,None,None,None,None,None,None,None,None,None,None,None,None
161,None,None,None,None,None,None,None,None,None,None,None,None
162,"[[24.4057055 85.8426528]
 [24.406345  85.8427017]
 [24.405945  85.842175 ]]",None,None,None,None,None,None,None,None,None,None,None
163,[[24.4109241 85.8409453]],None,None,None,None,None,None,None,None,None,None,None
164,None,None,None,None,None,None,None,None,None,None,None,None
165,None,None,None,None,None,None,None,None,None,None,None,None
166,"[[24.4408891 85.8420433]
 [24.4412389 85.8423861]
 [24.4466322 85.8450276]
 [24.4466451 85.8460643]]",None,None,None,None,None,None,None,None,None,None,None
167,None,None,None,None,None,None,None,None,None,None,None,None
168,None,None,None,None,None,None,None,None,None,None,None,None
169,None,None,None,None,None,None,None,None,None,None,None,None
170,None,None,None,None,None,None,None,None,None,None,None,None
171,None,None,None,None,None,None,None,None,None,None,None,None
172,None,None,None,None,None,None,None,None,None,None,None,None
173,None,None,None,None,None,None,None,None,None,None,None,None
174,None,None,None,None,None,None,None,None,None,None,None,None
175,None,None,None,None,None,None,None,None,None,None,None,None
176,None,None,None,None,None,None,None,None,None,None,None,None
177,None,None,None,None,None,None,None,None,None,None,None,None
178,None,None,None,None,None,None,None,None,None,None,None,None
179,None,None,None,None,None,None,None,None,None,None,None,None
180,None,None,None,None,None,None,None,None,None,None,None,None
181,"[[24.591293  85.841156 ]
 [24.5945462 85.8478006]
 [24.5944415 85.8477729]]",None,None,None,None,None,None,None,None,None,None,None
182,None,None,None,None,None,None,None,None,None,None,None,None
183,None,None,None,None,None,None,None,None,None,None,None,None
184,None,None,None,None,None,None,None,None,None,None,None,None
185,"[[24.6328179 85.8419638]
 [24.6334452 85.8486291]]",None,None,None,None,None,None,None,None,None,None,None
186,"[[24.6426003 85.8419477]
 [24.6423746 85.8458029]]",None,None,None,None,None,None,None,None,None,None,None
187,None,None,None,None,None,None,None,None,None,None,None,None
188,None,None,None,None,None,None,None,None,None,None,None,None
189,None,None,None,None,None,None,None,None,None,None,None,None
190,None,None,None,None,None,None,None,None,None,None,None,None
191,None,None,None,None,None,None,None,None,None,None,None,None
192,None,None,None,None,None,None,None,None,None,None,None,None
193,None,None,None,None,None,None,None,None,None,None,None,None
194,None,None,None,None,None,None,None,None,None,None,None,None
