Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
107,None,None,None,None,None,None,None,None,None,None,None,None
108,None,None,None,None,None,None,None,None,None,None,None,None
109,None,None,None,None,None,None,None,None,None,None,None,None
110,None,None,None,None,None,None,None,None,None,None,None,None
111,None,None,None,None,None,None,None,None,None,None,None,None
112,None,None,None,None,None,None,None,None,None,None,None,None
113,None,None,None,None,None,None,None,None,None,None,None,None
114,None,None,None,None,None,None,None,None,None,None,None,None
115,None,None,None,None,None,None,None,None,None,None,None,None
116,None,None,None,None,None,None,None,None,None,None,None,None
117,None,None,None,None,None,None,None,None,None,None,None,None
118,None,None,None,None,None,None,None,None,None,None,None,None
119,None,None,None,None,None,None,None,None,None,[[25.719101  89.7066548]],None,None
120,[[25.7230625 89.7098178]],[[25.7230625 89.7098178]],None,None,None,None,None,None,None,None,None,None
121,None,None,None,None,None,None,None,None,None,None,None,None
122,"[[25.7437167 89.7030037]
 [25.7437614 89.7027321]]",None,None,None,None,None,None,None,None,None,None,None
123,None,None,None,None,None,None,None,None,None,None,None,None
124,None,None,None,None,None,None,None,None,None,None,None,None
125,None,None,None,None,None,None,None,None,None,None,None,None
126,None,None,None,None,None,None,None,None,None,None,None,None
127,None,None,None,None,None,None,None,None,None,None,None,None
128,None,None,None,None,None,None,None,None,None,None,None,None
129,[[25.8133622 89.7049852]],None,None,None,None,None,None,None,None,[[25.8188356 89.707493 ]],None,None
130,None,None,None,None,None,None,None,None,None,None,None,None
131,[[25.8362951 89.7003346]],None,None,None,None,None,None,None,None,None,None,None
132,None,None,None,None,None,None,None,None,None,None,None,None
133,None,None,None,None,None,None,None,None,None,None,None,None
134,"[[25.8630014 89.7086843]
 [25.8633871 89.7094731]]",None,None,None,None,None,None,None,None,None,None,None
135,[[25.8761198 89.7082157]],[[25.8761198 89.7082157]],None,None,None,None,None,None,None,None,None,None
136,"[[25.888396  89.7051072]
 [25.8881202 89.7067629]
 [25.8887724 89.7046673]
 [25.8883973 89.7087947]
 [25.8884442 89.7090554]]","[[25.888396  89.7051072]
 [25.8884442 89.7090554]]",None,None,None,[[25.8897951 89.7088127]],[[25.8877167 89.7023921]],None,None,None,None,None
137,"[[25.8971116 89.7090769]
 [25.8934945 89.7040909]
 [25.8930262 89.7099788]]",None,None,None,None,[[25.8903997 89.7095322]],[[25.8900824 89.7090397]],None,None,[[25.8903602 89.706797 ]],None,[[25.890435  89.7095379]]
138,None,None,None,None,None,None,None,None,None,None,None,None
139,[[25.9122751 89.7005421]],None,None,None,None,None,None,None,None,None,None,None
140,None,None,None,None,None,None,None,None,None,None,None,None
141,None,None,None,None,None,None,None,None,None,None,None,None
