Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
139,None,None,None,None,None,[[27.3783593 79.683111 ]],None,None,None,None,None,None
140,None,None,None,None,None,None,None,None,None,None,None,None
141,[[27.3921435 79.6889549]],None,None,None,None,None,None,None,None,None,None,None
142,"[[27.4095705 79.6879843]
 [27.4096749 79.6868618]
 [27.4098595 79.6866933]]",None,None,None,None,None,None,None,None,None,None,None
143,None,None,None,None,None,None,None,None,None,None,None,None
144,"[[27.4212398 79.6831961]
 [27.4205684 79.6822128]
 [27.4294053 79.6849995]]",None,None,None,None,None,None,None,None,None,None,None
145,[[27.4349821 79.6845303]],None,None,None,None,None,[[27.4357864 79.6838874]],None,None,None,None,None
146,None,None,None,None,None,None,None,None,None,None,None,None
147,None,None,None,None,None,None,None,None,None,None,None,None
148,"[[27.4643516 79.684726 ]
 [27.4659933 79.6821946]]",None,None,None,None,None,None,None,None,None,None,None
149,[[27.4743153 79.6894699]],None,None,None,None,None,None,None,None,[[27.4765242 79.6879651]],None,None
150,None,None,None,None,None,None,None,None,None,None,None,None
151,None,None,None,None,None,None,None,None,None,None,None,None
152,None,None,None,None,None,None,None,None,None,None,None,None
153,None,None,None,None,None,None,None,None,None,None,None,None
154,[[27.5267122 79.6809009]],[[27.5267122 79.6809009]],None,None,None,None,None,None,None,None,None,None
155,[[27.5321225 79.6862167]],None,None,None,None,[[27.5326439 79.6861375]],None,None,None,None,None,[[27.532965  79.6859679]]
156,"[[27.5419492 79.6871565]
 [27.5421739 79.6870706]
 [27.5430444 79.6852722]
 [27.5403736 79.6880798]
 [27.5438131 79.688962 ]
 [27.5449615 79.6880961]
 [27.5449615 79.6880962]
 [27.5450311 79.6882159]
 [27.5451538 79.6881556]
 [27.5454391 79.6890272]
 [27.5459967 79.6886033]
 [27.5461521 79.6881133]
 [27.5464482 79.6882205]
 [27.5480504 79.6887486]
 [27.5484932 79.6888759]
 [27.548565  79.6888734]
 [27.5493115 79.6872567]]",None,None,None,None,"[[27.5442228 79.6879088]
 [27.5442986 79.6882042]
 [27.5443795 79.6882676]
 [27.5449615 79.6880962]
 [27.5476981 79.6888251]
 [27.5475952 79.6892502]]",[[27.5437082 79.6876606]],[[27.5483542 79.688063 ]],"[[27.5449615 79.6880961]
 [27.5449615 79.6880962]]","[[27.5423083 79.688281 ]
 [27.5426808 79.6886045]
 [27.5449615 79.6880962]
 [27.5462965 79.688973 ]
 [27.5470358 79.6885033]]",None,"[[27.542045  79.6868653]
 [27.5421178 79.6869928]
 [27.5403727 79.6880798]
 [27.5449615 79.6880962]
 [27.5482425 79.6887688]]"
157,"[[27.5512864 79.6872882]
 [27.5516541 79.6863806]]",None,None,None,None,None,None,None,None,None,None,[[27.5563378 79.6866941]]
158,"[[27.56526   79.6880467]
 [27.5622474 79.6808333]
 [27.5662029 79.6810815]
 [27.5698011 79.6855243]]",[[27.56526   79.6880467]],None,None,None,None,None,None,None,None,None,None
159,"[[27.5723377 79.688858 ]
 [27.579575  79.6852904]]",[[27.5723377 79.688858 ]],None,None,None,None,None,None,None,None,None,None
160,[[27.5872534 79.6886176]],None,None,None,None,None,None,None,None,None,None,None
161,"[[27.5940789 79.6848276]
 [27.5942262 79.6851582]]",None,None,None,None,None,None,None,None,[[27.5911318 79.6873908]],None,None
162,[[27.6076599 79.6807889]],None,None,None,None,None,None,None,None,None,None,None
163,None,None,None,None,None,None,None,None,None,None,None,None
164,None,None,None,None,None,None,None,None,None,None,None,None
165,None,None,None,None,None,None,None,None,None,None,None,None
166,None,None,None,None,None,None,None,None,None,None,None,None
167,None,None,None,None,None,None,None,None,None,None,None,None
168,None,None,None,None,None,None,None,None,None,None,None,None
