Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
4614,"[[23.6353134 86.3948215]
 [23.6393299 86.3994512]]",None,None,None,None,None,None,None,None,None,None,None
4615,None,None,None,None,None,[[23.648984  86.3996765]],None,None,None,None,None,None
4616,"[[23.6516129 86.3921912]
 [23.6510785 86.3932329]
 [23.6503218 86.395499 ]
 [23.6503196 86.3956073]
 [23.6545983 86.3946813]]",None,None,None,[[23.6599806 86.390195 ]],None,None,None,None,None,None,None
4617,None,None,None,None,None,None,None,None,None,None,None,None
4618,None,None,None,None,None,None,None,None,None,None,None,None
4619,"[[23.6878475 86.3990332]
 [23.6868773 86.3951989]
 [23.6886217 86.3960159]
 [23.6892617 86.3963791]
 [23.6884939 86.3968455]
 [23.6851272 86.3978463]
 [23.6851273 86.3978464]
 [23.6833658 86.3970463]
 [23.6876283 86.3996869]
 [23.6870757 86.3999052]
 [23.6815671 86.3991974]]",None,None,None,None,None,[[23.6822344 86.3956762]],None,"[[23.686862  86.396538 ]
 [23.6882599 86.3968183]
 [23.6848816 86.3988702]]",[[23.6852089 86.3990271]],None,[[23.6859883 86.39696  ]]
4620,"[[23.6943791 86.3946176]
 [23.6942682 86.3968274]]",None,None,None,None,None,None,None,None,None,None,None
4621,"[[23.7094464 86.3935698]
 [23.7094382 86.3937214]
 [23.7064158 86.3966372]
 [23.7078762 86.3971482]
 [23.7033101 86.3964781]
 [23.7063918 86.3999431]]",None,None,None,None,None,None,None,None,None,None,"[[23.7076964 86.3952898]
 [23.7093022 86.3974223]
 [23.7024519 86.3974646]]"
4622,"[[23.7157843 86.3931579]
 [23.7154787 86.3934152]]",None,None,None,None,None,[[23.7111385 86.3980525]],None,None,"[[23.71069165 86.3987208 ]
 [23.7163925  86.3935044 ]]",None,None
4623,"[[23.7278604 86.3927772]
 [23.7295682 86.3941988]
 [23.7296167 86.3942984]
 [23.7296989 86.3952905]
 [23.7231639 86.3992936]]",None,None,None,None,None,None,None,None,None,None,None
4624,"[[23.7305768 86.393252 ]
 [23.7305982 86.3940234]
 [23.7308144 86.3941274]
 [23.7325436 86.3995047]
 [23.7319951 86.3996338]]",None,None,None,None,None,None,None,None,None,None,[[23.732352  86.3989309]]
4625,[[23.7499531 86.394151 ]],None,None,None,None,None,None,None,None,None,None,None
4626,"[[23.7500094 86.3941441]
 [23.7553588 86.3920425]
 [23.7537505 86.390329 ]]",None,None,None,None,None,[[23.7502929 86.3933978]],None,[[23.7553588 86.3920425]],None,None,None
4627,None,None,None,None,None,None,None,None,None,None,None,None
4628,"[[23.7781745 86.3924118]
 [23.773828  86.3997359]
 [23.7777927 86.3996604]]",None,None,None,None,None,None,None,None,None,None,None
4629,"[[23.7857232 86.3900538]
 [23.7847677 86.3900135]
 [23.7846087 86.3929599]
 [23.783485  86.3923163]
 [23.7860339 86.3947849]
 [23.783481  86.3961565]]",None,None,None,[[23.7899453 86.3960554]],[[23.7834812 86.3947549]],None,None,None,"[[23.7843545 86.3901906]
 [23.7843204 86.3901929]
 [23.7833296 86.3945117]
 [23.783867  86.3959473]
 [23.7848505 86.398321 ]]",None,None
4630,"[[23.7983721 86.3919689]
 [23.799962  86.3946971]]",None,None,None,None,None,[[23.7993325 86.3996846]],[[23.7959117 86.3940767]],None,None,None,[[23.7960378 86.3973623]]
4631,"[[23.8039755 86.3937086]
 [23.8084659 86.3917245]
 [23.8095238 86.3929335]
 [23.8032907 86.3944241]
 [23.8058327 86.3962581]
 [23.8059597 86.3969437]
 [23.8035772 86.395838 ]
 [23.8035679 86.3958738]
 [23.8042557 86.3966007]
 [23.8024264 86.3968467]
 [23.8045621 86.3984688]
 [23.8049665 86.3995277]
 [23.8030673 86.3996175]]",None,[[23.8034052 86.3945746]],None,[[23.8017761 86.3946718]],None,None,[[23.8031007 86.3952974]],[[23.8024545 86.3967671]],None,None,None
4632,"[[23.8134549 86.390883 ]
 [23.8151474 86.3905174]
 [23.8173332 86.3914867]
 [23.8179359 86.3922415]
 [23.8181504 86.3923035]
 [23.8185381 86.3930369]
 [23.819677  86.3915183]
 [23.8119349 86.3986956]]",None,None,None,None,None,[[23.8134549 86.390883 ]],None,None,[[23.8138209 86.390544 ]],None,None
4633,"[[23.8256544 86.3992169]
 [23.8240248 86.3992799]]",None,None,None,None,None,[[23.8225793 86.39176  ]],None,None,None,None,None
4634,None,None,None,None,None,None,None,None,None,None,None,None
4635,None,None,None,None,None,None,None,None,None,None,None,None
4636,"[[23.8510991 86.3931601]
 [23.8538086 86.3948696]
 [23.8572677 86.3975464]]",None,None,None,None,[[23.8580016 86.3958066]],[[23.8543768 86.3946662]],None,None,None,None,None
4637,"[[23.8648718 86.3946125]
 [23.8691312 86.3993215]]",None,None,None,None,None,[[23.8691698 86.3989832]],None,None,None,None,None
4638,"[[23.8724115 86.3929556]
 [23.8725592 86.3929019]
 [23.8743757 86.3921491]
 [23.8744152 86.3936153]]",None,None,None,None,None,None,None,None,None,None,None
4639,None,None,None,None,None,None,None,None,None,None,None,None
4640,"[[23.8927009 86.3906824]
 [23.895793  86.395156 ]]",None,None,None,None,None,None,None,None,None,None,None
4641,[[23.9049421 86.3940177]],None,None,None,None,None,None,None,None,None,None,None
4642,[[23.9141647 86.3980408]],None,None,None,None,None,None,None,None,None,None,None
4643,None,None,None,None,None,None,None,None,None,None,None,None
4644,[[23.931458  86.3941951]],None,None,None,None,None,None,None,None,None,None,None
4645,"[[23.9420549 86.390375 ]
 [23.9409375 86.3939286]]",None,None,None,None,None,None,None,[[23.940246 86.399801]],None,None,None
4646,None,None,None,None,None,None,None,None,None,None,None,None
4647,None,None,None,None,None,None,None,None,None,None,None,None
4648,None,None,None,None,None,None,None,None,None,None,None,None
4649,None,None,None,None,None,None,None,None,None,None,None,None
